id,dimension,subject,grade_level,category,subcategory,prompt_text,correct_answer,key_visual_elements,key_steps,misconception,correct_concept,boundary_type
EVB-Sci-Col-K-CK-F2-022,Knowledge,science,college,K-CK,K-CK-F2,"Generate an educational video showing the 8 planets of the solar system in order from the Sun: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, with each planet labeled and shown at a relatively correct scale.","Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune (in order from the Sun)",Sun | eight planets in order | labels for each planet | relative size differences,Show the Sun | Display planets in order from closest to farthest | Label each planet | Indicate relative sizes,,,
EVB-Math-Col-K-CK-P1-023,Knowledge,math,college,K-CK,K-CK-P1,"Generate an educational video showing a simple maze and solving it using the right-hand rule (wall follower algorithm): starting from the entrance, always keeping the right hand on the wall until reaching the exit, tracing the complete path.",Right-hand rule: always follow the right wall from entrance to exit,maze with entrance and exit | path traced in color | right-hand-on-wall indication | complete solution path,Show maze with entrance | Begin at entrance with right hand on wall | Trace path following right wall | Reach exit,,,
EVB-Soc-Col-K-CK-P2-024,Knowledge,social,college,K-CK,K-CK-P2,"Generate an educational video demonstrating how to use a statistical software interface (e.g., SPSS) to run a t-test: enter data into two columns, select Analyze > Compare Means > Independent Samples T-Test, and interpret the p-value output.","Steps: enter data, navigate to Analyze > Compare Means > Independent Samples T-Test, run test, interpret p-value for significance",data entry screen | menu navigation | test configuration dialog | results output with p-value,Enter data in two columns | Navigate to Analyze menu | Select Independent Samples T-Test | Configure and run | Read p-value from output,,,
EVB-Art-Col-K-CK-F1-025,Knowledge,arts,college,K-CK,K-CK-F1,"Generate an educational video displaying the circle of fifths in music theory, showing all 12 major keys arranged clockwise (C, G, D, A, E, B, F#/Gb, Db, Ab, Eb, Bb, F) with their key signatures.",Circle of fifths: 12 major keys arranged clockwise in fifths starting from C at the top,circular diagram | 12 key names around the circle | key signatures notation | clockwise fifth intervals,Draw circle | Place C at top | Arrange remaining keys clockwise in fifths | Add key signatures,,,
EVB-Art-Col-K-CK-C3-026,Knowledge,arts,college,K-CK,K-CK-C3,"Generate an educational video presenting the analogy in art history: Impressionism is to light/color as Cubism is to ___, and reveal the answer as geometric form/multiple perspectives. Show an Impressionist painting example alongside a Cubist painting example.","Cubism focuses on geometric form and multiple perspectives, analogous to how Impressionism focuses on light and color",Impressionist style example | Cubist style example | analogy text | key characteristic labels,Show Impressionist example | Label: focus on light/color | Show Cubist example | Label: focus on geometric form/multiple perspectives,,,
EVB-Soc-High-K-CK-C4-027,Knowledge,social,high,K-CK,K-CK-C4,"Generate an educational video demonstrating the law of supply and demand: when the price of a product increases, quantity demanded decreases and quantity supplied increases, showing the equilibrium point where the supply and demand curves intersect.","Supply curve slopes upward, demand curve slopes downward; they intersect at the equilibrium price and quantity",price axis (vertical) | quantity axis (horizontal) | upward-sloping supply curve | downward-sloping demand curve | equilibrium point,Draw axes | Plot demand curve (downward) | Plot supply curve (upward) | Mark intersection as equilibrium,,,
EVB-Soc-ELow-K-CK-M3-028,Knowledge,social,elementary_low,K-CK,K-CK-M3,"Generate an educational video showing a common math error: a student writes 3 + 4 x 2 = 14. The video should explain that according to the order of operations, multiplication comes before addition, so the correct answer is 3 + 8 = 11.","11 (not 14), because multiplication is performed before addition",incorrect solution 3+4x2=14 | order of operations reminder | correct step: 4x2=8 | correct answer: 3+8=11,Show incorrect answer 14 | Explain order of operations | Compute 4x2=8 first | Then 3+8=11,,,
EVB-Math-EHigh-K-CK-R1-029,Knowledge,math,elementary_high,K-CK,K-CK-R1,"Generate an educational video showing the eleven distinct nets of a cube laid flat, then animating one net folding up into a complete cube, demonstrating spatial reasoning about 3D shapes from 2D patterns.",A cube has 11 distinct nets; the video shows one net folding into a cube to demonstrate the 2D-to-3D relationship,flat cube net (cross-shaped or other valid pattern) | six connected squares | folding animation | completed cube,Display a flat cube net | Label six square faces | Animate folding edges | Show completed 3D cube,,,
EVB-Math-EHigh-K-CK-R1-030,Knowledge,math,elementary_high,K-CK,K-CK-R1,"Generate an educational video showing a horizontal plane slicing through a cube at different angles: a horizontal cut producing a square cross-section, and a diagonal cut producing a rectangular cross-section, labeling each result.","Horizontal cut through cube yields a square; diagonal cuts can yield rectangles, triangles, or hexagons depending on angle",3D cube | horizontal cutting plane | square cross-section | diagonal cutting plane | rectangular cross-section,Show 3D cube | Slice horizontally | Reveal square cross-section | Slice diagonally | Reveal rectangular cross-section,,,
EVB-Sci-EHigh-K-CK-R2-031,Knowledge,science,elementary_high,K-CK,K-CK-R2,"Generate an educational video showing a block on an inclined plane with friction: display the forces acting on the block (gravity, normal force, friction force) and show how increasing the angle eventually causes the block to start sliding when gravity component exceeds static friction.",Block slides when the component of gravity along the incline exceeds the maximum static friction force,inclined plane | block | gravity vector | normal force vector | friction force vector | angle label,Show block on incline | Draw force vectors | Increase angle | Show sliding begins when gravity component > friction,,,
EVB-Sci-Mid-K-CK-R2-032,Knowledge,science,middle,K-CK,K-CK-R2,"Generate an educational video showing projectile motion: a ball launched at 45 degrees follows a parabolic trajectory, with horizontal velocity remaining constant while vertical velocity changes due to gravity, landing at the same height it was launched from.","Projectile follows a parabolic path; horizontal velocity is constant, vertical velocity changes due to gravity; 45 degrees gives maximum range for same launch height",launch at 45 degrees | parabolic trajectory | horizontal velocity arrows (constant) | vertical velocity arrows (changing) | landing point,Launch ball at 45 degrees | Show parabolic path | Display constant horizontal velocity | Display changing vertical velocity | Ball lands at same height,,,
EVB-Sci-High-K-CK-R3-033,Knowledge,science,high,K-CK,K-CK-R3,"Generate an educational video explaining the greenhouse effect mechanism: sunlight passes through the atmosphere, heats the Earth's surface, the surface emits infrared radiation, and greenhouse gases (CO₂, CH₄, H₂O) trap some of this radiation, warming the atmosphere.","Greenhouse gases trap outgoing infrared radiation, causing atmospheric warming; incoming solar radiation passes through but outgoing IR is partially absorbed and re-emitted",Sun | incoming solar radiation arrows | Earth surface | outgoing infrared arrows | greenhouse gas layer | trapped radiation,Show sunlight entering atmosphere | Surface absorbs and heats up | Surface emits infrared | Greenhouse gases trap IR | Temperature increases,,,
EVB-Sci-ELow-K-CK-R3-034,Knowledge,science,elementary_low,K-CK,K-CK-R3,"Generate an educational video showing a simple food chain (grass, rabbit, fox) and demonstrating what happens when the rabbit population is removed: the fox population declines due to lack of food and the grass overgrows without herbivores.","Removing rabbits causes fox decline (no food) and grass overgrowth (no herbivores), demonstrating trophic cascade",grass (producer) | rabbit (primary consumer) | fox (secondary consumer) | arrows showing energy flow | disruption visualization,Show food chain: grass -> rabbit -> fox | Remove rabbit | Show fox declining | Show grass overgrowth,,,
EVB-Math-High-K-CK-R4-035,Knowledge,math,high,K-CK,K-CK-R4,"Generate an educational video solving the quadratic equation x² - 7x + 12 = 0 by factoring: find two numbers that multiply to 12 and add to -7 (which are -3 and -4), factor as (x-3)(x-4) = 0, yielding x = 3 and x = 4.",x = 3 and x = 4,equation x²-7x+12=0 | factor pairs of 12 | selection of -3 and -4 | factored form (x-3)(x-4)=0 | solutions,"Write equation | List factor pairs of 12 | Identify -3 and -4 (sum = -7) | Write (x-3)(x-4)=0 | Solve: x=3, x=4",,,
EVB-Math-Col-K-CK-R4-036,Knowledge,math,college,K-CK,K-CK-R4,"Generate an educational video proving that the sum of interior angles of any triangle equals 180 degrees: draw a triangle, extend one side, draw a line parallel to the opposite side through the far vertex, and use alternate interior angles to show the three angles form a straight line.","Sum of interior angles of a triangle = 180 degrees, proven using parallel line and alternate interior angles","triangle with labeled angles A, B, C | extended base line | parallel line through opposite vertex | alternate interior angle marks | straight line = 180 degrees",Draw triangle ABC | Extend base BC | Draw line through A parallel to BC | Identify alternate interior angles | Show A + B + C = 180 degrees,,,
EVB-Sci-Col-K-CK-R5-037,Knowledge,science,college,K-CK,K-CK-R5,Generate an educational video demonstrating projectile motion as an interdisciplinary physics-and-math problem: derive the trajectory equation y = x tan(theta) - gx²/(2v₀²cos²(theta)) by combining horizontal (x = v₀cos(theta)t) and vertical (y = v₀sin(theta)t - gt²/2) equations.,"y = x tan(theta) - gx²/(2v₀²cos²(theta)), derived by eliminating t from parametric equations",horizontal equation | vertical equation | elimination of t | final trajectory equation | parabolic graph,Write x = v₀cos(theta)t | Write y = v₀sin(theta)t - gt²/2 | Solve first for t | Substitute into second | Simplify to trajectory equation,,,
EVB-Sci-High-K-CK-R5-038,Knowledge,science,high,K-CK,K-CK-R5,"Generate an educational video explaining how biochemistry connects biology and chemistry: show the structure of ATP (adenosine triphosphate), illustrate how breaking the phosphate bond releases energy, and connect this to cellular respiration in mitochondria.",ATP stores energy in phosphate bonds; hydrolysis of ATP to ADP + Pi releases energy used for cellular processes; this connects chemical bonding (chemistry) to cellular function (biology),ATP molecular structure | three phosphate groups | bond-breaking animation | energy release | mitochondria,Show ATP structure | Highlight phosphate bonds | Animate bond breaking (ATP -> ADP + Pi) | Show energy release | Connect to mitochondria,,,
EVB-Sci-Mid-K-CK-R6-039,Knowledge,science,middle,K-CK,K-CK-R6,"Generate an educational video showing the correct step-by-step procedure for using a compound light microscope: (1) place slide on stage, (2) start with lowest objective lens, (3) adjust coarse focus, (4) switch to higher magnification, (5) use fine focus for clarity.","Microscope procedure: place slide, start at low power, coarse focus, increase magnification, fine focus",microscope | slide placement | objective lens turret | coarse focus knob | fine focus knob | magnified image,Place slide on stage | Select lowest objective | Use coarse focus | Rotate to higher magnification | Use fine focus,,,
EVB-Sci-Col-K-CK-R6-040,Knowledge,science,college,K-CK,K-CK-R6,"Generate an educational video demonstrating the scientific method applied to experiment design: formulate a hypothesis about plant growth under different light conditions, design a controlled experiment with independent variable (light color), dependent variable (growth height), and controlled variables (water, soil, temperature).","Scientific method: hypothesis -> controlled experiment with independent variable (light color), dependent variable (plant height), and controlled variables (water, soil, temp)",hypothesis statement | experimental setup diagram | variable labels | control group | experimental groups,State hypothesis | Identify variables | Set up control group | Set up experimental groups with different light colors | Measure plant height as outcome,,,
EVB-ELA-ELow-K-CK-F-041,Knowledge,ela,elementary_low,K-CK,K-CK-F,"Generate an educational video that displays the uppercase and lowercase forms of all 26 English alphabet letters in order (Aa, Bb, Cc, ... Zz), with each letter pair appearing sequentially and clearly labeled.",All 26 English alphabet letters displayed in uppercase-lowercase pairs in correct sequential order from A to Z,uppercase letter | lowercase letter | sequential A-Z order | clear letter labels,"Display Aa | Continue through Bb, Cc, etc. | Reach Zz | Maintain correct alphabetical order throughout",,,
EVB-ELA-ELow-K-CK-C-042,Knowledge,ela,elementary_low,K-CK,K-CK-C,"Generate an educational video explaining the three basic parts of a story for young learners: beginning (introduces characters and setting), middle (a problem or event happens), and end (the problem is solved). Use a simple example story about a lost puppy to illustrate each part.","Three parts of a story: beginning (characters/setting), middle (problem/event), end (resolution), illustrated with a lost puppy example",beginning label with characters and setting | middle label with problem event | end label with resolution | lost puppy story illustrations,Introduce the concept of story parts | Show beginning: puppy with its owner at home | Show middle: puppy gets lost | Show end: puppy is found and reunited,,,
EVB-ELA-EHigh-K-CK-F-043,Knowledge,ela,elementary_high,K-CK,K-CK-F,"Generate an educational video displaying the eight parts of speech in English — noun, pronoun, verb, adjective, adverb, preposition, conjunction, interjection — with a definition and one example word for each, presented in a clear list format.","Eight parts of speech: noun, pronoun, verb, adjective, adverb, preposition, conjunction, interjection, each with a correct definition and example",eight parts of speech listed | definition for each | example word for each | clear formatting,Display noun with definition and example | Display pronoun with definition and example | Continue through all eight parts of speech | Present in organized list format,,,
EVB-ELA-EHigh-K-CK-P-044,Knowledge,ela,elementary_high,K-CK,K-CK-P,"Generate an educational video demonstrating how to write a basic paragraph using the hamburger model: a topic sentence (top bun), three supporting detail sentences (the fillings), and a concluding sentence (bottom bun). Show each layer being assembled step by step with an example paragraph about a favorite animal.","Hamburger paragraph model: topic sentence, three supporting details, concluding sentence, demonstrated with an example paragraph",hamburger diagram with labeled layers | top bun = topic sentence | three fillings = supporting details | bottom bun = concluding sentence | completed example paragraph,Introduce the hamburger model | Write a topic sentence (top bun) | Add three supporting detail sentences (fillings) | Write a concluding sentence (bottom bun) | Show the completed paragraph,,,
EVB-ELA-Mid-K-CK-C-045,Knowledge,ela,middle,K-CK,K-CK-C,"Generate an educational video explaining five common figurative language devices: simile (using 'like' or 'as'), metaphor (direct comparison without 'like/as'), personification (giving human traits to non-human things), hyperbole (exaggeration), and onomatopoeia (words that imitate sounds). Provide one clear example sentence for each device.","Five figurative language devices: simile, metaphor, personification, hyperbole, onomatopoeia, each with a correct example sentence",device name labels | definition for each device | example sentence for each | visual illustrations of examples,Define and illustrate simile | Define and illustrate metaphor | Define and illustrate personification | Define and illustrate hyperbole | Define and illustrate onomatopoeia,,,
EVB-ELA-Mid-K-CK-P-046,Knowledge,ela,middle,K-CK,K-CK-P,"Generate an educational video showing the five-paragraph essay structure: (1) introduction with a hook and thesis statement, (2) body paragraph 1 with a topic sentence and evidence, (3) body paragraph 2 with a topic sentence and evidence, (4) body paragraph 3 with a topic sentence and evidence, (5) conclusion that restates the thesis and provides a closing thought. Label each section clearly with a visual outline.","Five-paragraph essay structure: introduction (hook + thesis), three body paragraphs (topic sentence + evidence each), conclusion (restate thesis + closing thought)",essay outline diagram with five sections | introduction with hook and thesis labels | three body paragraphs with topic sentence labels | conclusion with restatement and closing | section numbers and labels,"Show introduction structure (hook, thesis) | Show body paragraph 1 structure | Show body paragraph 2 structure | Show body paragraph 3 structure | Show conclusion structure",,,
EVB-ELA-High-K-CK-F-047,Knowledge,ela,high,K-CK,K-CK-F,"Generate an educational video displaying the three classical rhetorical appeals defined by Aristotle: ethos (credibility/character of the speaker), pathos (emotional appeal to the audience), and logos (logical reasoning and evidence). Show each appeal with its Greek term, definition, and one example from a famous speech.","Three rhetorical appeals: ethos (credibility), pathos (emotion), logos (logic), each with definition and speech example",ethos label with definition | pathos label with definition | logos label with definition | speech excerpt examples | Aristotle reference,Introduce Aristotle's rhetorical triangle | Define and exemplify ethos | Define and exemplify pathos | Define and exemplify logos,,,
EVB-ELA-High-K-CK-R-048,Knowledge,ela,high,K-CK,K-CK-R,"Generate an educational video analyzing the use of dramatic irony in Shakespeare's Romeo and Juliet: show the scene where Romeo believes Juliet is dead and drinks poison, while the audience knows she is merely asleep from the friar's potion. Explain how dramatic irony creates tension by giving the audience knowledge the character lacks.","Dramatic irony occurs when the audience knows something a character does not; in Romeo and Juliet, the audience knows Juliet is asleep while Romeo believes she is dead",Romeo and Juliet scene depiction | dramatic irony definition text | audience knowledge vs character knowledge diagram | tension-building explanation,Define dramatic irony | Set up the scene context | Show Romeo's mistaken belief | Show the audience's superior knowledge | Explain how this creates dramatic tension,,,
EVB-ELA-Col-K-CK-C-049,Knowledge,ela,college,K-CK,K-CK-C,"Generate an educational video presenting four major schools of literary theory: Formalism (focus on text structure and literary devices), Marxist criticism (focus on class, power, and economic structures in texts), Feminist criticism (focus on gender representation and patriarchal structures), and Post-colonialism (focus on colonial power dynamics and cultural identity). Define each school and illustrate with a brief example of how each would analyze the same text.","Four literary theory schools: Formalism, Marxist criticism, Feminist criticism, Post-colonialism, each defined and applied to the same text as an example",four theory labels with definitions | example text reference | different analytical lenses applied | comparison of interpretations,Define Formalism and show its analytical focus | Define Marxist criticism and show its analytical focus | Define Feminist criticism and show its analytical focus | Define Post-colonialism and show its analytical focus | Compare how each reads the same text differently,,,
EVB-ELA-Col-K-CK-P-050,Knowledge,ela,college,K-CK,K-CK-P,"Generate an educational video demonstrating the steps of a scholarly literary research process: (1) formulate a research question about a literary text, (2) conduct a literature review of existing scholarship, (3) develop a thesis grounded in a theoretical framework, (4) perform close reading and textual analysis to gather evidence, (5) structure the argument in MLA-formatted academic essay form with proper in-text citations and a Works Cited page.","Scholarly literary research process: research question, literature review, thesis with theoretical framework, close reading/textual analysis, MLA-formatted essay with citations",research question formulation | literature review sources | thesis statement with theory label | close reading annotations | MLA format example with Works Cited,Formulate a research question | Review existing scholarship | Develop a thesis with theoretical grounding | Perform close reading for evidence | Write MLA-formatted essay with citations,,,
EVB-Art-ELow-K-CK-F-051,Knowledge,arts,elementary_low,K-CK,K-CK-F,"Generate an educational video that teaches basic color mixing using primary and secondary colors. Show the three primary colors — red, blue, and yellow — as paint blobs or circles. Then animate mixing them in pairs: red + blue = purple, blue + yellow = green, and red + yellow = orange. Each result should appear as a new color blob with a clear label naming the secondary color produced.","Primary colors (red, blue, yellow) mix to form secondary colors: red+blue=purple, blue+yellow=green, red+yellow=orange","red, blue, and yellow primary color blobs | mixing animation for each pair | purple result from red+blue | green result from blue+yellow | orange result from red+yellow | labels for each secondary color",Display three primary colors with labels | Mix red and blue to show purple | Mix blue and yellow to show green | Mix red and yellow to show orange | Label each secondary color,,,
EVB-Art-Mid-K-CK-C-052,Knowledge,arts,middle,K-CK,K-CK-C,"Generate an educational video that introduces the seven elements of art: line, shape, form, color, value, space, and texture. Display each element one at a time with its name as a text label and a clear visual example — a drawn line, a flat geometric shape, a 3D form with shading, a color wheel segment, a grayscale value gradient, a composition showing positive and negative space, and a close-up surface showing texture.","Seven elements of art: line, shape, form, color, value, space, texture — each with a visual example",line example (straight or curved drawn line) | shape example (flat geometric shape) | form example (3D object with shading) | color example (color wheel segment) | value example (grayscale gradient) | space example (positive and negative space) | texture example (surface close-up) | text labels for each element,Display 'line' with drawn line example | Display 'shape' with flat geometric example | Display 'form' with 3D shaded example | Display 'color' with color wheel segment | Display 'value' with grayscale gradient | Display 'space' with positive/negative space composition | Display 'texture' with surface close-up,,,
EVB-None-ELow-K-PK-CTML-SG-041,Knowledge,none,elementary_low,K-PK,K-PK-CTML-SG,"Generate an educational video for young children about the life cycle of a butterfly (egg, caterpillar, chrysalis, butterfly). Use visual signaling cues — red arrows pointing to each stage, bold text labels for stage names, and a highlighted circular diagram connecting the stages.","Effective signaling uses arrows, bold text, and highlighting to direct learner attention to key information",red arrows between stages | bold stage labels | highlighted circular life cycle diagram | four distinct stages,Show egg with arrow and label | Show caterpillar with arrow and label | Show chrysalis with arrow and label | Show butterfly with arrow and label | Complete the cycle,,,
